sample_id,genotype,block_number,replica_number,dev_stage,leaf_number,leaf_zone,dag,common_dev_stage,common_leaf_age,tissue_designation,developmental_stage_dap,dev_group,metabolite,intensity
D12B29A,B73,2,2,9,9,Along,49,V7-V9,young,B73_9_9,50,7-9,acylcarnitine_12_1,13995
D12B111A,B73,2,1,9,11,Along,49,V7-V9,young,B73_11_9,50,7-9,acylcarnitine_12_1,64110
D12B211A,B73,2,2,9,11,Along,49,V7-V9,young,B73_11_9,50,7-9,acylcarnitine_12_1,44133
D12B113A,B73,2,1,9,13,Along,49,V7-V9,young,B73_13_9,50,7-9,acylcarnitine_12_1,123594
D12B213A,B73,2,2,9,13,Along,49,V7-V9,young,B73_13_9,50,7-9,acylcarnitine_12_1,89374
D12P14A,PT,2,1,8,4,Along,49,V7-V9,adult,PT_4_8,50,7-9,acylcarnitine_12_1,6126
D13C14A,CML312,3,1,8,4,Along,40,V7-V9,adult,CML312_4_8,40,7-9,acylcarnitine_12_1,6814
D13C24A,CML312,3,2,8,4,Along,40,V7-V9,adult,CML312_4_8,40,7-9,acylcarnitine_12_1,6041
D13P14A,PT,3,1,8,4,Along,40,V7-V9,adult,PT_4_8,40,7-9,acylcarnitine_12_1,134
D12P15A,PT,2,1,8,5,Along,49,V7-V9,adult,PT_5_8,50,7-9,acylcarnitine_12_1,4690
D13C25A,CML312,3,2,8,5,Along,40,V7-V9,adult,CML312_5_8,40,7-9,acylcarnitine_12_1,6567
D13P15A,PT,3,1,8,5,Along,40,V7-V9,adult,PT_5_8,40,7-9,acylcarnitine_12_1,8380
D12P17A,PT,2,1,8,7,Along,49,V7-V9,adult,PT_7_8,50,7-9,acylcarnitine_12_1,2694
D13C17A,CML312,3,1,8,7,Along,40,V7-V9,adult,CML312_7_8,40,7-9,acylcarnitine_12_1,43843
D13C27A,CML312,3,2,8,7,Along,40,V7-V9,adult,CML312_7_8,40,7-9,acylcarnitine_12_1,13704
D13P17A,PT,3,1,8,7,Along,40,V7-V9,adult,PT_7_8,40,7-9,acylcarnitine_12_1,4329
D12P19A,PT,2,1,8,9,Along,49,V7-V9,young,PT_9_8,50,7-9,acylcarnitine_12_1,9854
D13C19A,CML312,3,1,8,9,Along,40,V7-V9,young,CML312_9_8,40,7-9,acylcarnitine_12_1,47789
D13C29A,CML312,3,2,8,9,Along,40,V7-V9,young,CML312_9_8,40,7-9,acylcarnitine_12_1,22072
D13P19A,PT,3,1,8,9,Along,40,V7-V9,young,PT_9_8,40,7-9,acylcarnitine_12_1,3548
D12P111A,PT,2,1,8,11,Along,49,V7-V9,young,PT_11_8,50,7-9,acylcarnitine_12_1,21398
D12P113A,PT,2,1,8,13,Along,49,V7-V9,young,PT_13_8,50,7-9,acylcarnitine_12_1,9935
D13P24A,PT,3,2,7,4,Along,40,V7-V9,adult,PT_4_7,40,>9,acylcarnitine_12_1,10062
D13P25A,PT,3,2,7,5,Along,40,V7-V9,adult,PT_5_7,40,>9,acylcarnitine_12_1,1659
D13P27A,PT,3,2,7,7,Along,40,V7-V9,young,PT_7_7,40,>9,acylcarnitine_12_1,1916
D13P29A,PT,3,2,7,9,Along,40,V7-V9,young,PT_9_7,40,>9,acylcarnitine_12_1,7237
D13B14A,B73,3,1,6,4,Along,40,V6-,adult,B73_4_6,40,4-6,acylcarnitine_12_1,9278
D13B24A,B73,3,2,6,4,Along,40,V6-,adult,B73_4_6,40,4-6,acylcarnitine_12_1,7072
D14C24A,CML312,4,2,6,4,Along,26,V6-,adult,CML312_4_6,28,4-6,acylcarnitine_12_1,9685
